,Agency Name,Agency Logo,Agency Type
197,Cyprus Loft Estate,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/8229-logo-20220113195011.png,Estate Agency
198,ÇAKICI EMLAK,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/cakici-emlak.svg,Estate Agency
199,METRO EMLAK,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/metro-emlak.svg,Estate Agency
200,Boran Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/28018-logo-20220315162257.svg,Estate Agency
201,NETKAL EMLAK,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/17365-logo-20210831115343.svg,Estate Agency
202,Alper Aktaş,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/12977-logo-20200724170646.jpeg,Estate Agency
203,Status Inex Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/17945-logo-20211006155743.svg,Estate Agency
204,NOKTA  Emlak ve İnşaat,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/nokta-group.svg,Estate Agency
205,Alper Önel Emlak ve Danışmanlık,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/alper-onel-emlak.svg,Estate Agency
206,OCP CYPRUS,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/13624-logo-20220311101454.svg,Estate Agency
207,ESTA Real Estates,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/esta1.jpg,Estate Agency
208,Calendar Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/7571-logo-20211101150805.svg,Estate Agency
209,Your Choice Properties,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/9629-logo-20190304122332.jpeg,Estate Agency
210,Coast and Country Homes Estate Agency,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/4214-logo-20211108171757.svg,Estate Agency
211,Better Homes & Design by Kerem Özgen,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/better-homes-real-estate.svg,Estate Agency
212,Kargarstate ,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/39842-logo-20220325153031.jpeg,Estate Agency
213,Landmark Estates,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/landmark-estate-agency.svg,Estate Agency
214,HİLARİON REAL ESTATE,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/18404-logo-20211112104921.svg,Estate Agency
215,Kalkan Emlak,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/kalkan.jpeg,Estate Agency
216,Korinia Estate Agency,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/korinia-estate-agency.svg,Estate Agency
